position_group,feature,estimate,ci_lower,ci_upper,sample_size,training_window,heuristic_version,model_version
ST,Vertical_missing,0.14377952021414941,-0.43691159454177886,0.5827458636400914,80,min-max,v1.0.0,v1.0.0
ST,Bench_missing,0.26103187845792775,-0.5460206176072698,1.0189358504848938,80,min-max,v1.0.0,v1.0.0
ST,Broad Jump_missing,0.026407307542740455,-0.3658128701852862,0.35486816984348396,80,min-max,v1.0.0,v1.0.0
ST,3Cone_missing,-0.34437016680905685,-0.6269237725138531,0.229451013139191,80,min-max,v1.0.0,v1.0.0
ST,Shuttle_missing,-0.3443701668089574,-0.6269237725137835,0.2294510131391841,80,min-max,v1.0.0,v1.0.0
ST,Ht_missing,0.0,0.0,0.0,80,min-max,v1.0.0,v1.0.0
ST,Wt_missing,0.0,0.0,0.0,80,min-max,v1.0.0,v1.0.0
TE,intercept,3.576169958187651,3.4579543466525497,3.683412683538635,284,min-max,v1.0.0,v1.0.0
TE,40yd_z,0.12950247434018541,0.019039171995197727,0.2511875703548519,284,min-max,v1.0.0,v1.0.0
TE,Vertical_z,0.0625556120818131,-0.047431047145263014,0.16689938152898973,284,min-max,v1.0.0,v1.0.0
TE,Bench_z,0.027893564768765932,-0.07658110353372691,0.128264477055582,284,min-max,v1.0.0,v1.0.0
TE,Broad Jump_z,-0.09954998107125856,-0.22007426486098097,0.015053449579709274,284,min-max,v1.0.0,v1.0.0
TE,3Cone_z,0.08007773396391535,-0.032149476905603616,0.20500550681870433,284,min-max,v1.0.0,v1.0.0
TE,Shuttle_z,0.010640338245573033,-0.09022875996372103,0.10340382331650193,284,min-max,v1.0.0,v1.0.0
TE,Ht_z,0.04546538400040234,-0.06226863250613655,0.1456170729043449,284,min-max,v1.0.0,v1.0.0
TE,Wt_z,0.10625580257993847,-0.021941000113348413,0.21208723002558622,284,min-max,v1.0.0,v1.0.0
TE,40yd_missing,-0.22773163613080172,-0.5377077703924001,0.08366696198844861,284,min-max,v1.0.0,v1.0.0
TE,Vertical_missing,-0.10730911896344175,-0.48494083002264377,0.3344147735080654,284,min-max,v1.0.0,v1.0.0
TE,Bench_missing,-0.06524379250331691,-0.3477149150109921,0.1617160747003898,284,min-max,v1.0.0,v1.0.0
TE,Broad Jump_missing,0.014938900349490858,-0.3117623616597743,0.41941483406398533,284,min-max,v1.0.0,v1.0.0
TE,3Cone_missing,0.06051033971468911,-0.42657298592366893,0.4573077471157825,284,min-max,v1.0.0,v1.0.0
TE,Shuttle_missing,-0.07444160929062704,-0.4234932349991186,0.3314883486175562,284,min-max,v1.0.0,v1.0.0
TE,Ht_missing,0.0,0.0,0.0,284,min-max,v1.0.0,v1.0.0
TE,Wt_missing,0.0,0.0,0.0,284,min-max,v1.0.0,v1.0.0
WR,intercept,3.3519334568751185,3.2583539793052547,3.4815563424197893,642,min-max,v1.0.0,v1.0.0
WR,40yd_z,0.04896752155834507,-0.027853361264611413,0.1254806169307413,642,min-max,v1.0.0,v1.0.0
WR,Vertical_z,0.09895517057754591,0.017979228795756027,0.1897129603989178,642,min-max,v1.0.0,v1.0.0
WR,Bench_z,-0.01405854101335567,-0.07247143978781588,0.04112706626737201,642,min-max,v1.0.0,v1.0.0
WR,Broad Jump_z,-0.07688962634093018,-0.1684896781712495,0.0069475164495763865,642,min-max,v1.0.0,v1.0.0
WR,3Cone_z,0.024668607286045287,-0.05257782263245013,0.10011396242168852,642,min-max,v1.0.0,v1.0.0
WR,Shuttle_z,0.08055682022382804,0.01738410549774486,0.1474622507467299,642,min-max,v1.0.0,v1.0.0
WR,Ht_z,-0.021549605319851263,-0.12934361424645097,0.07227351771835591,642,min-max,v1.0.0,v1.0.0
WR,Wt_z,0.10122496505098807,0.0051765772816215055,0.2034999778458217,642,min-max,v1.0.0,v1.0.0
WR,40yd_missing,-0.04135394377025861,-0.27842990487196895,0.2413676596018408,642,min-max,v1.0.0,v1.0.0
WR,Vertical_missing,0.3630151777958077,0.05034774245378519,0.7151284249636057,642,min-max,v1.0.0,v1.0.0
WR,Bench_missing,-0.0508753836204824,-0.18843191162808393,0.08111470873906573,642,min-max,v1.0.0,v1.0.0
WR,Broad Jump_missing,-0.1831343608163929,-0.5386618131513715,0.1484058845729473,642,min-max,v1.0.0,v1.0.0
WR,3Cone_missing,0.04955524171498778,-0.21292383844419457,0.3023687386130404,642,min-max,v1.0.0,v1.0.0
WR,Shuttle_missing,-0.13218067404530068,-0.37063801953083386,0.14546136964184253,642,min-max,v1.0.0,v1.0.0
WR,Ht_missing,-0.00261840795503631,-0.13286781175355591,0.1305101808664757,642,min-max,v1.0.0,v1.0.0
WR,Wt_missing,-0.0026184079550361336,-0.1328678117535583,0.13051018086647495,642,min-max,v1.0.0,v1.0.0
