athlete_id,player_name,row_index,id_column,id_value,reason
2213,Leander Jordan,,NFL_id,2213,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2213/stats?region=us&lang=en&contentorigin=espn
2228,Curtis Keaton,,NFL_id,2228,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2228/stats?region=us&lang=en&contentorigin=espn
2215,Ben Kelly,,NFL_id,2215,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2215/stats?region=us&lang=en&contentorigin=espn
2176,Kenoy Kennedy,,NFL_id,2176,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2176/stats?region=us&lang=en&contentorigin=espn
2199,Erron Kinney,,NFL_id,2199,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2199/stats?region=us&lang=en&contentorigin=espn
2240,Kareem Larrimore,,NFL_id,2240,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2240/stats?region=us&lang=en&contentorigin=espn
2325,Leif Larsen,,NFL_id,2325,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2325/stats?region=us&lang=en&contentorigin=espn
2273,Shane Lechler,,NFL_id,2273,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2273/stats?region=us&lang=en&contentorigin=espn
2373,Charles Lee,,NFL_id,2373,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2373/stats?region=us&lang=en&contentorigin=espn
2136,Jamal Lewis,,NFL_id,2136,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2136/stats?region=us&lang=en&contentorigin=espn
2218,Dustin Lyman,,NFL_id,2218,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2218/stats?region=us&lang=en&contentorigin=espn
2222,David Macklin,,NFL_id,2222,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2222/stats?region=us&lang=en&contentorigin=espn
2261,Anthony Malbrough,,NFL_id,2261,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2261/stats?region=us&lang=en&contentorigin=espn
2294,Tee Martin,,NFL_id,2294,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2294/stats?region=us&lang=en&contentorigin=espn
2251,Alvin McKinley,,NFL_id,2251,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2251/stats?region=us&lang=en&contentorigin=espn
2383,Rondell Mealey,,NFL_id,2383,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2383/stats?region=us&lang=en&contentorigin=espn
2191,Brad Meester,,NFL_id,2191,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2191/stats?region=us&lang=en&contentorigin=espn
2372,Rob Meier,,NFL_id,2372,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2372/stats?region=us&lang=en&contentorigin=espn
2220,Corey Moore,,NFL_id,2220,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2220/stats?region=us&lang=en&contentorigin=espn
2246,Frank Moreau,,NFL_id,2246,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2246/stats?region=us&lang=en&contentorigin=espn
2266,Aric Morris,,NFL_id,2266,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2266/stats?region=us&lang=en&contentorigin=espn
2159,Rob Morris,,NFL_id,2159,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2159/stats?region=us&lang=en&contentorigin=espn
2287,Sammy Morris,,NFL_id,2287,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2287/stats?region=us&lang=en&contentorigin=espn
2152,Sylvester Morris,,NFL_id,2152,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2152/stats?region=us&lang=en&contentorigin=espn
2297,Chad Morton,,NFL_id,2297,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2297/stats?region=us&lang=en&contentorigin=espn
2255,Bobby Myers,,NFL_id,2255,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2255/stats?region=us&lang=en&contentorigin=espn
2163,Dennis Northcutt,,NFL_id,2163,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2163/stats?region=us&lang=en&contentorigin=espn
2146,Deltha O'Neal,,NFL_id,2146,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2146/stats?region=us&lang=en&contentorigin=espn
2366,Erik Olson,,NFL_id,2366,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2366/stats?region=us&lang=en&contentorigin=espn
2149,Chad Pennington,,NFL_id,2149,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2149/stats?region=us&lang=en&contentorigin=espn
2147,Julian Peterson,,NFL_id,2147,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2147/stats?region=us&lang=en&contentorigin=espn
2167,Todd Pinkston,,NFL_id,2167,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2167/stats?region=us&lang=en&contentorigin=espn
2155,Ahmed Plummer,,NFL_id,2155,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2155/stats?region=us&lang=en&contentorigin=espn
2382,DaShon Polk,,NFL_id,2382,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2382/stats?region=us&lang=en&contentorigin=espn
2178,Jerry Porter,,NFL_id,2178,fetch_failed: RuntimeError: fetch_failed after 3 attempts: 404 Client Error: Not Found for url: https://site.web.api.espn.com/apis/common/v3/sports/football/college-football/athletes/2178/stats?region=us&lang=en&contentorigin=espn
